Team,Logo,M1,D1,L1,T1,M2,D2,L2,T2,M3,D3,L3,T3,M4,D4,L4,T4,M5,D5,L5,T5,M6,D6,L6,T6,M7,D7,L7,T7,M8,D8,L8,T8,M9,D9,L9,T9,M10,D10,L10,T10,M11,D11,L11,T11,M12,D12,L12,T12,M13,D13,L13,T13
Hawaii,\Logos\Hawaii.png,AUG,25,A,\Logos\Colorado St.png,SEP,1,H,\Logos\Navy.png,SEP,8,H,\Logos\Rice.png,SEP,15,A,\Logos\Army.png,SEP,22,H,\Logos\Duquesne.png,SEP,29,A,\Logos\San Jose St.png,OCT,6,H,\Logos\Wyoming.png,OCT,13,A,\Logos\BYU.png,OCT,20,H,\Logos\Nevada.png,OCT,27,A,\Logos\Fresno St.png,NOV,3,H,\Logos\Utah St.png,NOV,17,H,\Logos\UNLV.png,NOV,24,A,\Logos\San Diego St.png
Rice,\Logos\Rice.png,AUG,25,H,\Logos\Prairie View.png,SEP,1,H,\Logos\Houston.png,SEP,8,A,\Logos\Hawaii.png,SEP,22,A,\Logos\Southern Miss.png,SEP,29,A,\Logos\Wake Forest.png,OCT,6,H,\Logos\UT San Antonio.png,OCT,13,H,\Logos\UAB.png,OCT,20,A,\Logos\Florida Intl.png,OCT,27,A,\Logos\North Texas.png,NOV,3,H,\Logos\UTEP.png,NOV,10,A,\Logos\Louisiana Tech.png,NOV,17,A,\Logos\LSU.png,NOV,24,H,\Logos\Old Dominion.png
